annee,mois,jour,jour_semaine,id_ligne,mode_transport,precipitation,vent,neige,temperature,meteo_defavorable,accessibilite,air_conditionne
2026,3,13,0,C02615,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02689,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02691,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02809,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01115,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C02307,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C00942,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C00395,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01538,bus,2.9,25.0,0.0,8.5,0,TRUE,partial
2026,3,13,0,C01288,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01300,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C01329,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01904,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C02466,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
2026,3,13,0,C02595,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02704,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01688,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C00503,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01191,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01543,bus,2.9,25.0,0.0,8.5,0,TRUE,unknown
2026,3,13,0,C00144,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01305,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00380,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02093,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C02387,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02503,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02523,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02797,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C01679,tram,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C00527,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01240,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C00531,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C02463,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C02581,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C02602,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01485,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01508,bus,2.9,25.0,0.0,8.5,0,unknown,unknown
2026,3,13,0,C00343,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C01987,bus,2.9,25.0,0.0,8.5,0,FALSE,FALSE
2026,3,13,0,C01327,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01189,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01227,bus,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C02179,bus,2.9,25.0,0.0,8.5,0,,
2026,3,13,0,C01207,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C00394,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C02681,bus,2.9,25.0,0.0,8.5,0,unknown,FALSE
2026,3,13,0,C02701,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01850,bus,2.9,25.0,0.0,8.5,0,FALSE,unknown
2026,3,13,0,C00922,bus,2.9,25.0,0.0,8.5,0,FALSE,TRUE
2026,3,13,0,C02168,bus,2.9,25.0,0.0,8.5,0,FALSE,partial
2026,3,13,0,C01625,bus,2.9,25.0,0.0,8.5,0,unknown,partial
2026,3,13,0,C01136,bus,2.9,25.0,0.0,8.5,0,TRUE,FALSE
2026,3,13,0,C01795,tram,2.9,25.0,0.0,8.5,0,TRUE,TRUE
2026,3,13,0,C01789,bus,2.9,25.0,0.0,8.5,0,unknown,TRUE
